Adobe After Effects 9.0 Keyframe Data

	Units Per Second	12
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Layer
Transform	Position
	Frame	X pixels	Y pixels	Z pixels	
	0	2420	1675.5	0	
	1	2423	1666.5	0	
	2	2382.52	1646.99	0	
	3	2358.52	1636.02	0	
	4	2339.5	1639.99	0	
	5	2330.55	1625	0	
	6	2322.51	1601	0	
	7	2317.49	1596.99	0	
	8	2254.49	1558.01	0	
	9	2244.49	1543	0	
	10	2232.93	1523.45	0	
	11	2208.98	1517.48	0	
	12	2215.99	1505.52	0	
	13	2200.07	1525.51	0	
	14	2192	1536.49	0	
	15	2173.92	1574.62	0	
	16	2174.02	1581.5	0	
	17	2180.01	1585.48	0	
	18	2180.01	1585.48	0	
	19	2174.02	1581.5	0	
	20	2173.92	1574.62	0	
	21	2192	1536.49	0	
	22	2200.07	1525.51	0	
	23	2215.99	1505.52	0	
	24	2208.98	1517.48	0	
	25	2232.93	1523.45	0	
	26	2244.49	1543	0	
	27	2255.03	1558.31	0	
	28	2310.99	1594.52	0	
	29	2316.97	1599.5	0	
	30	2325.47	1624	0	
	31	2333.61	1638.97	0	
	32	2353.58	1635.91	0	
	33	2376.5	1645.03	0	
	34	2417.45	1665.01	0	
	35	2414.45	1674.01	0	

End of Keyframe Data
